household_size,has_ac,season_hot,season_rainy,weekend_ratio,energy_consumption_kwh
1,1,0,1,0.3225806451612903,6.0
3,0,0,1,0.25806451612903225,7.1
4,0,1,0,0.26666666666666666,10.7
1,1,0,1,0.25806451612903225,4.6
2,0,0,1,0.26666666666666666,5.2
6,0,1,0,0.3225806451612903,14.3
1,0,0,0,0.3333333333333333,5.1
2,0,0,1,0.3225806451612903,2.6
5,1,1,0,0.26666666666666666,17.8
3,1,0,1,0.3225806451612903,10.0
5,1,0,0,0.2857142857142857,18.4
5,1,0,0,0.2857142857142857,18.2
4,1,0,0,0.25806451612903225,13.9
5,0,1,0,0.3225806451612903,15.5
2,1,1,0,0.2903225806451613,7.1
6,1,0,0,0.2857142857142857,20.0
3,1,0,1,0.3225806451612903,11.1
3,0,0,1,0.25806451612903225,5.3
2,0,0,0,0.25806451612903225,1.7
6,1,0,1,0.3225806451612903,19.8
6,1,1,0,0.2903225806451613,20.0
6,0,0,0,0.2857142857142857,16.6
2,0,0,1,0.26666666666666666,7.1
5,1,0,1,0.3225806451612903,18.0
1,0,0,1,0.25806451612903225,3.2
5,0,0,1,0.25806451612903225,11.0
6,1,1,0,0.26666666666666666,20.0
1,1,0,0,0.3333333333333333,1.4
4,0,1,0,0.3,9.4
5,1,0,1,0.26666666666666666,20.0
3,0,0,0,0.3333333333333333,9.0
3,0,0,0,0.25806451612903225,8.8
2,0,0,1,0.25806451612903225,2.3
6,0,1,0,0.26666666666666666,15.9
2,1,0,0,0.25806451612903225,7.6
6,0,1,0,0.26666666666666666,18.1
6,1,0,1,0.25806451612903225,20.0
1,0,0,0,0.25806451612903225,2.0
2,1,0,1,0.26666666666666666,9.1
4,0,0,0,0.3333333333333333,10.2
6,1,0,0,0.25806451612903225,20.0
1,0,1,0,0.3225806451612903,2.4
2,0,1,0,0.26666666666666666,4.9
1,0,1,0,0.3,5.3
2,1,1,0,0.26666666666666666,8.2
6,1,0,1,0.26666666666666666,20.0
2,0,0,0,0.25806451612903225,7.4
4,0,0,0,0.25806451612903225,11.1
4,1,1,0,0.2903225806451613,15.5
1,1,0,1,0.25806451612903225,3.9
6,1,1,0,0.3,20.0
6,0,0,1,0.25806451612903225,17.0
6,0,0,0,0.25806451612903225,15.3
4,1,0,1,0.25806451612903225,16.5
5,0,0,1,0.3225806451612903,15.5
6,0,0,0,0.3333333333333333,14.9
6,1,1,0,0.2903225806451613,20.0
2,0,0,1,0.25806451612903225,5.2
6,1,1,0,0.3,18.8
6,1,0,1,0.25806451612903225,20.0
6,1,1,0,0.3225806451612903,20.0
2,1,1,0,0.26666666666666666,7.2
6,1,0,0,0.2857142857142857,20.0
3,0,1,0,0.3,8.9
5,1,0,0,0.3333333333333333,17.9
2,0,0,1,0.26666666666666666,5.4
5,0,0,0,0.25806451612903225,10.0
2,1,1,0,0.26666666666666666,7.8
4,0,0,1,0.3225806451612903,7.2
1,1,0,0,0.25806451612903225,4.8
6,1,1,0,0.3,19.8
1,0,1,0,0.2903225806451613,5.8
6,0,0,1,0.26666666666666666,15.2
4,1,0,1,0.25806451612903225,14.2
4,0,0,1,0.3225806451612903,10.1
1,1,0,1,0.25806451612903225,4.2
1,1,1,0,0.2903225806451613,4.9
5,0,0,0,0.25806451612903225,13.8
6,0,0,1,0.25806451612903225,14.8
4,0,1,0,0.3225806451612903,9.3
1,0,1,0,0.3225806451612903,0.9
2,1,1,0,0.26666666666666666,9.6
6,0,0,0,0.25806451612903225,11.2
2,1,1,0,0.3,7.8
3,0,0,1,0.3225806451612903,8.1
2,0,0,1,0.26666666666666666,2.6
1,1,1,0,0.2903225806451613,5.0
5,1,0,0,0.3333333333333333,19.9
1,0,0,0,0.3333333333333333,1.8
6,0,0,0,0.25806451612903225,17.3
4,0,0,1,0.25806451612903225,8.5
2,0,0,0,0.2857142857142857,6.4
1,0,1,0,0.26666666666666666,2.5
6,1,0,0,0.3333333333333333,20.0
5,0,0,1,0.25806451612903225,12.2
6,0,0,1,0.3225806451612903,14.4
6,1,1,0,0.3,20.0
3,1,0,1,0.25806451612903225,9.7
5,1,1,0,0.26666666666666666,20.0
1,1,0,1,0.26666666666666666,7.3
5,0,0,0,0.3333333333333333,11.0
5,0,1,0,0.26666666666666666,12.7
6,1,0,0,0.25806451612903225,20.0
3,0,0,0,0.3333333333333333,8.7
5,0,0,1,0.3225806451612903,15.5
1,1,0,0,0.2857142857142857,4.8
1,0,1,0,0.3,2.9
5,1,0,0,0.25806451612903225,18.5
6,1,0,1,0.25806451612903225,19.7
3,1,1,0,0.26666666666666666,15.2
6,0,1,0,0.3225806451612903,14.7
2,0,1,0,0.3225806451612903,4.0
4,0,0,1,0.25806451612903225,9.9
4,0,1,0,0.3,9.8
6,1,1,0,0.26666666666666666,19.1
6,0,0,0,0.25806451612903225,15.9
2,0,0,1,0.26666666666666666,4.1
4,1,0,1,0.25806451612903225,15.6
5,0,1,0,0.26666666666666666,15.6
4,0,0,0,0.3333333333333333,10.6
6,0,0,1,0.3225806451612903,15.3
2,0,0,1,0.25806451612903225,6.9
2,0,0,1,0.25806451612903225,7.3
6,1,1,0,0.3225806451612903,20.0
4,0,0,0,0.3333333333333333,7.8
5,0,0,1,0.3225806451612903,11.7
4,0,1,0,0.3,10.6
3,0,1,0,0.3225806451612903,7.9
5,1,1,0,0.3,17.7
1,1,0,1,0.25806451612903225,5.0
3,1,0,1,0.26666666666666666,9.8
1,1,1,0,0.3225806451612903,3.2
3,0,0,1,0.26666666666666666,7.8
1,0,0,1,0.3225806451612903,0.9
5,0,0,1,0.25806451612903225,16.4
1,1,1,0,0.26666666666666666,3.9
4,1,0,1,0.25806451612903225,15.0
2,1,1,0,0.3225806451612903,7.9
6,0,0,0,0.25806451612903225,15.4
5,1,0,1,0.25806451612903225,18.4
3,1,0,1,0.26666666666666666,11.8
1,0,0,0,0.25806451612903225,4.4
2,0,0,1,0.3225806451612903,5.7
5,0,1,0,0.3,11.7
5,1,1,0,0.26666666666666666,18.2
2,1,0,1,0.25806451612903225,5.2
1,1,0,0,0.25806451612903225,5.8
4,1,0,0,0.25806451612903225,12.5
2,0,0,1,0.26666666666666666,5.5
5,0,0,1,0.25806451612903225,12.4
2,0,0,1,0.25806451612903225,4.0
6,1,0,1,0.25806451612903225,19.7
5,1,0,0,0.3333333333333333,16.8
5,1,0,1,0.25806451612903225,20.0
5,1,0,0,0.25806451612903225,19.2
4,0,1,0,0.26666666666666666,9.2
2,0,0,1,0.25806451612903225,6.0
3,1,1,0,0.26666666666666666,10.3
5,1,0,0,0.2857142857142857,19.4
3,0,0,1,0.3225806451612903,7.9
6,0,0,0,0.3333333333333333,14.1
2,1,1,0,0.2903225806451613,7.3
1,0,1,0,0.3225806451612903,3.9
3,0,0,1,0.25806451612903225,10.1
5,1,1,0,0.26666666666666666,17.0
2,0,1,0,0.3225806451612903,6.2
5,0,0,0,0.3333333333333333,9.2
4,1,0,0,0.25806451612903225,13.9
2,1,1,0,0.2903225806451613,5.4
3,0,1,0,0.3225806451612903,5.5
2,1,0,1,0.26666666666666666,9.0
1,1,1,0,0.26666666666666666,0.5
5,1,0,1,0.25806451612903225,17.0
5,0,0,0,0.3333333333333333,12.8
4,0,0,0,0.25806451612903225,9.4
3,0,0,0,0.25806451612903225,8.3
2,1,0,1,0.25806451612903225,7.8
6,0,0,0,0.25806451612903225,15.3
6,0,0,0,0.25806451612903225,16.7
3,0,1,0,0.2903225806451613,8.0
4,0,0,0,0.2857142857142857,8.2
5,0,0,0,0.25806451612903225,12.7
1,0,1,0,0.3225806451612903,1.1
2,0,1,0,0.26666666666666666,3.5
5,1,0,0,0.25806451612903225,18.1
1,0,0,0,0.25806451612903225,2.1
2,1,0,0,0.25806451612903225,6.5
5,1,0,0,0.2857142857142857,19.3
5,1,0,0,0.25806451612903225,17.9
1,1,1,0,0.26666666666666666,3.4
2,1,1,0,0.3225806451612903,4.8
1,0,1,0,0.2903225806451613,1.8
3,0,0,0,0.2857142857142857,8.2
6,0,1,0,0.26666666666666666,13.8
6,0,1,0,0.26666666666666666,18.3
5,1,0,1,0.25806451612903225,17.8
4,0,0,0,0.25806451612903225,5.4
2,1,0,0,0.2857142857142857,9.8
5,1,1,0,0.3,20.0
4,0,0,0,0.25806451612903225,11.3
2,0,0,0,0.3333333333333333,5.9
4,0,0,0,0.3333333333333333,9.5
1,1,0,1,0.25806451612903225,7.2
6,1,0,0,0.25806451612903225,20.0
4,0,0,1,0.25806451612903225,10.3
1,0,1,0,0.26666666666666666,2.0
6,0,1,0,0.3225806451612903,16.1
4,0,1,0,0.3225806451612903,8.0
2,0,1,0,0.3,3.6
2,0,0,1,0.25806451612903225,5.3
4,1,1,0,0.3225806451612903,13.5
3,1,0,1,0.25806451612903225,12.0
2,0,0,1,0.3225806451612903,6.3
4,1,0,0,0.25806451612903225,15.2
1,0,0,1,0.3225806451612903,2.1
5,0,0,1,0.25806451612903225,11.6
3,0,0,1,0.26666666666666666,9.1
3,1,1,0,0.3,10.7
3,0,1,0,0.3225806451612903,10.9
5,0,0,1,0.3225806451612903,13.4
5,0,0,0,0.25806451612903225,13.2
6,1,0,1,0.3225806451612903,15.8
6,1,0,0,0.25806451612903225,18.0
6,0,1,0,0.2903225806451613,15.8
5,0,0,0,0.25806451612903225,11.1
2,1,0,0,0.3333333333333333,5.0
6,1,0,0,0.25806451612903225,20.0
1,0,1,0,0.3,3.7
1,0,0,1,0.26666666666666666,1.9
2,1,1,0,0.2903225806451613,6.3
1,1,0,0,0.25806451612903225,2.9
1,0,0,0,0.2857142857142857,2.3
6,0,1,0,0.3225806451612903,14.0
6,0,0,0,0.25806451612903225,14.2
6,0,0,0,0.3333333333333333,10.1
5,1,0,1,0.3225806451612903,19.4
2,0,0,1,0.25806451612903225,5.4
4,0,0,0,0.2857142857142857,11.7
3,0,1,0,0.3225806451612903,7.4
3,1,0,1,0.26666666666666666,9.0
5,1,0,0,0.3333333333333333,17.0
1,1,0,0,0.25806451612903225,4.3
3,0,0,1,0.25806451612903225,4.6
1,0,1,0,0.3225806451612903,4.4
6,1,0,1,0.26666666666666666,20.0
1,1,1,0,0.3,3.1
2,1,1,0,0.3225806451612903,7.3
1,0,0,0,0.3333333333333333,3.6
5,1,1,0,0.3,19.0
6,0,0,1,0.25806451612903225,16.2
2,1,0,1,0.26666666666666666,7.2
2,0,0,0,0.2857142857142857,4.2
5,0,1,0,0.26666666666666666,12.0
4,0,1,0,0.3225806451612903,9.7
6,1,1,0,0.3,20.0
2,1,0,0,0.3333333333333333,5.5
5,1,0,1,0.3225806451612903,18.0
1,1,1,0,0.2903225806451613,5.4
2,1,0,1,0.25806451612903225,7.5
5,0,0,0,0.25806451612903225,11.9
6,1,0,0,0.25806451612903225,20.0
2,0,0,0,0.2857142857142857,5.3
6,1,1,0,0.26666666666666666,20.0
3,1,0,0,0.3333333333333333,10.0
2,1,1,0,0.2903225806451613,8.4
6,1,1,0,0.26666666666666666,20.0
5,1,0,0,0.25806451612903225,19.2
3,1,0,1,0.26666666666666666,10.4
6,0,0,1,0.25806451612903225,17.6
1,0,0,0,0.25806451612903225,0.9
5,1,1,0,0.2903225806451613,17.0
2,1,0,1,0.3225806451612903,8.2
3,0,1,0,0.3,6.2
5,1,1,0,0.26666666666666666,17.7
5,1,0,1,0.3225806451612903,19.6
5,1,0,1,0.25806451612903225,17.5
3,0,0,0,0.3333333333333333,7.8
6,1,0,0,0.25806451612903225,20.0
6,1,0,0,0.3333333333333333,20.0
4,1,0,0,0.3333333333333333,12.6
5,1,0,1,0.26666666666666666,16.6
3,1,0,1,0.25806451612903225,13.3
5,1,1,0,0.3225806451612903,19.3
1,1,1,0,0.26666666666666666,7.1
3,0,0,0,0.3333333333333333,8.0
3,0,1,0,0.26666666666666666,7.4
4,1,0,1,0.25806451612903225,16.1
3,0,1,0,0.26666666666666666,8.2
3,0,1,0,0.3,10.5
2,0,0,0,0.3333333333333333,6.0
5,0,0,0,0.25806451612903225,15.2
1,1,0,1,0.3225806451612903,7.6
1,0,0,1,0.25806451612903225,3.0
2,1,1,0,0.3225806451612903,10.2
1,1,1,0,0.2903225806451613,5.7
1,0,0,0,0.25806451612903225,2.9
5,1,0,1,0.25806451612903225,18.8
3,0,1,0,0.3,7.0
4,0,1,0,0.3225806451612903,10.0
5,0,0,0,0.2857142857142857,11.9
5,1,0,0,0.3333333333333333,16.3
1,0,1,0,0.3,1.2
3,1,0,0,0.2857142857142857,9.4
2,0,0,0,0.3333333333333333,3.7
5,0,0,0,0.25806451612903225,12.7
1,1,0,0,0.25806451612903225,5.9
3,0,0,1,0.25806451612903225,5.4
4,0,0,1,0.25806451612903225,9.4
5,1,0,1,0.26666666666666666,15.1
4,1,0,1,0.26666666666666666,14.1
4,1,0,1,0.25806451612903225,11.1
3,1,0,0,0.25806451612903225,10.4
4,1,0,1,0.25806451612903225,12.1
4,0,1,0,0.2903225806451613,12.4
1,1,0,0,0.25806451612903225,1.4
5,0,1,0,0.26666666666666666,14.2
3,0,1,0,0.3225806451612903,5.7
3,0,1,0,0.3,9.0
3,1,1,0,0.26666666666666666,11.1
1,0,0,0,0.25806451612903225,2.4
4,0,1,0,0.3225806451612903,10.7
1,0,0,1,0.3225806451612903,5.0
1,1,0,0,0.25806451612903225,4.4
6,0,0,1,0.25806451612903225,13.7
5,1,0,0,0.2857142857142857,18.6
6,0,0,1,0.25806451612903225,14.8
1,1,1,0,0.2903225806451613,1.3
6,1,0,0,0.25806451612903225,20.0
1,0,0,0,0.3333333333333333,2.0
3,1,1,0,0.2903225806451613,13.6
6,1,1,0,0.2903225806451613,20.0
6,1,1,0,0.2903225806451613,20.0
4,1,0,0,0.25806451612903225,16.2
4,1,0,0,0.2857142857142857,15.3
4,0,1,0,0.3,11.3
4,1,0,0,0.3333333333333333,14.2
1,0,1,0,0.3225806451612903,4.5
1,0,0,0,0.3333333333333333,1.5
4,0,0,1,0.26666666666666666,9.9
1,1,0,1,0.25806451612903225,5.3
4,1,0,1,0.25806451612903225,17.9
4,1,0,0,0.3333333333333333,12.2
6,0,1,0,0.3225806451612903,15.5
4,1,1,0,0.3225806451612903,12.1
6,1,0,0,0.25806451612903225,20.0
2,1,0,1,0.25806451612903225,7.9
5,1,1,0,0.26666666666666666,16.4
5,0,0,1,0.25806451612903225,13.7
2,0,0,1,0.25806451612903225,4.7
2,0,1,0,0.3,6.5
3,0,0,0,0.25806451612903225,8.7
4,1,0,0,0.3333333333333333,14.3
5,1,0,1,0.25806451612903225,16.7
6,1,0,0,0.25806451612903225,20.0
4,0,0,1,0.25806451612903225,10.2
2,0,0,0,0.2857142857142857,4.4
1,1,0,0,0.2857142857142857,2.0
2,0,0,0,0.3333333333333333,3.3
4,1,0,0,0.2857142857142857,14.1
5,0,0,0,0.25806451612903225,10.6
5,1,0,1,0.3225806451612903,17.2
6,0,1,0,0.3,14.7
6,1,0,0,0.25806451612903225,20.0
2,1,0,0,0.2857142857142857,7.6
3,0,0,0,0.3333333333333333,9.2
1,0,0,0,0.3333333333333333,5.3
5,1,0,0,0.25806451612903225,17.3
2,1,0,0,0.2857142857142857,9.2
3,1,1,0,0.3,8.7
4,0,0,0,0.25806451612903225,8.1
5,1,0,1,0.3225806451612903,17.5
3,0,0,1,0.25806451612903225,6.2
4,0,1,0,0.26666666666666666,10.1
1,0,0,1,0.3225806451612903,0.6
6,0,1,0,0.3,15.1
4,0,0,0,0.25806451612903225,9.7
1,0,0,0,0.2857142857142857,2.6
2,0,0,0,0.25806451612903225,2.7
1,1,0,0,0.2857142857142857,3.0
5,1,0,0,0.25806451612903225,17.4
2,0,0,1,0.25806451612903225,4.8
6,0,1,0,0.2903225806451613,15.8
1,0,0,0,0.3333333333333333,3.3
1,0,1,0,0.3,1.8
4,0,0,0,0.25806451612903225,13.0
1,0,0,1,0.25806451612903225,2.1
1,0,1,0,0.2903225806451613,4.7
3,0,0,0,0.3333333333333333,8.1
2,0,0,1,0.25806451612903225,3.4
1,1,0,1,0.26666666666666666,3.8
6,0,1,0,0.3225806451612903,13.4
1,0,1,0,0.3,3.4
2,1,1,0,0.26666666666666666,6.4
6,0,0,0,0.25806451612903225,16.4
2,0,1,0,0.3,3.9
2,1,1,0,0.3,6.9
2,0,0,0,0.25806451612903225,7.5
3,0,1,0,0.26666666666666666,6.7
4,1,0,0,0.25806451612903225,14.5
6,1,1,0,0.3225806451612903,20.0
5,1,1,0,0.26666666666666666,18.6
5,0,0,0,0.25806451612903225,13.9
4,0,0,0,0.25806451612903225,7.5
4,0,1,0,0.3,13.7
3,0,0,1,0.25806451612903225,6.7
5,1,0,1,0.3225806451612903,17.2
2,0,0,1,0.25806451612903225,2.1
5,1,0,0,0.2857142857142857,18.0
5,1,0,1,0.25806451612903225,17.1
5,1,0,1,0.25806451612903225,18.2
1,1,0,1,0.3225806451612903,4.9
3,0,0,1,0.26666666666666666,9.7
3,0,0,0,0.3333333333333333,6.8
4,1,1,0,0.3225806451612903,13.5
3,0,0,0,0.3333333333333333,8.4
1,1,0,0,0.25806451612903225,3.9
4,1,0,1,0.25806451612903225,14.6
5,1,0,1,0.25806451612903225,18.1
2,0,1,0,0.3,6.0
6,1,1,0,0.26666666666666666,20.0
5,1,1,0,0.3225806451612903,15.8
3,0,0,1,0.25806451612903225,7.6
6,1,0,1,0.25806451612903225,20.0
6,1,0,1,0.25806451612903225,20.0
2,1,0,0,0.25806451612903225,9.3
5,1,0,0,0.25806451612903225,18.2
4,0,0,0,0.25806451612903225,11.4
4,1,1,0,0.2903225806451613,13.5
4,0,1,0,0.3,7.9
2,0,0,1,0.25806451612903225,4.7
3,1,0,0,0.25806451612903225,12.6
3,0,1,0,0.26666666666666666,8.7
6,0,0,0,0.25806451612903225,16.4
2,0,1,0,0.3225806451612903,6.6
6,1,1,0,0.3225806451612903,20.0
5,1,0,0,0.25806451612903225,18.0
2,0,1,0,0.3,2.4
4,1,0,0,0.25806451612903225,14.0
2,0,0,0,0.2857142857142857,5.7
5,1,1,0,0.2903225806451613,20.0
5,1,0,1,0.26666666666666666,18.5
5,1,0,0,0.25806451612903225,17.0
3,1,0,0,0.25806451612903225,11.2
4,0,0,0,0.25806451612903225,8.8
3,1,0,0,0.2857142857142857,11.6
4,1,1,0,0.3,17.1
2,1,0,0,0.25806451612903225,5.5
1,1,1,0,0.26666666666666666,5.4
6,0,0,1,0.25806451612903225,11.6
4,1,0,1,0.25806451612903225,12.2
4,1,0,1,0.3225806451612903,12.3
4,1,0,0,0.2857142857142857,17.0
5,1,0,0,0.25806451612903225,17.9
3,1,0,0,0.2857142857142857,13.4
3,0,0,0,0.3333333333333333,7.4
3,0,0,1,0.26666666666666666,7.2
5,0,1,0,0.3225806451612903,11.5
2,0,0,0,0.25806451612903225,4.2
6,1,0,1,0.25806451612903225,20.0
6,0,0,0,0.25806451612903225,13.5
6,0,0,1,0.3225806451612903,14.6
1,1,0,1,0.25806451612903225,3.2
1,0,1,0,0.26666666666666666,2.0
4,1,0,0,0.25806451612903225,11.9
4,1,0,0,0.25806451612903225,15.2
5,0,1,0,0.26666666666666666,13.1
1,0,0,0,0.25806451612903225,4.5
2,0,0,1,0.3225806451612903,5.8
1,0,0,1,0.25806451612903225,2.7
3,1,0,0,0.25806451612903225,13.7
4,1,0,0,0.25806451612903225,16.3
3,0,1,0,0.3,6.5
6,0,0,0,0.2857142857142857,18.1
4,0,0,1,0.25806451612903225,12.0
4,1,0,0,0.2857142857142857,14.1
6,0,1,0,0.3,17.9
1,0,0,1,0.3225806451612903,2.0
1,1,0,0,0.3333333333333333,3.3
3,0,0,0,0.2857142857142857,6.9
5,1,0,0,0.2857142857142857,17.0
3,1,0,1,0.25806451612903225,9.2
4,1,0,1,0.3225806451612903,14.7
3,0,0,0,0.25806451612903225,8.7
3,1,0,1,0.25806451612903225,9.2
5,1,0,0,0.2857142857142857,17.1
5,0,0,1,0.25806451612903225,10.2
5,0,0,0,0.25806451612903225,11.2
5,1,0,0,0.25806451612903225,19.0
3,0,1,0,0.2903225806451613,7.1
5,1,0,0,0.2857142857142857,18.9
4,0,1,0,0.26666666666666666,12.1
5,0,0,0,0.25806451612903225,11.3
1,0,0,0,0.25806451612903225,1.7
1,1,1,0,0.3,5.0
2,1,0,1,0.3225806451612903,8.9
1,0,0,1,0.3225806451612903,2.1
1,0,1,0,0.3225806451612903,2.8
6,0,1,0,0.3225806451612903,15.5
2,1,0,1,0.3225806451612903,7.2
6,1,0,0,0.25806451612903225,19.6
5,1,0,1,0.25806451612903225,16.6
3,1,0,0,0.25806451612903225,14.9
1,1,1,0,0.26666666666666666,4.0
3,1,0,1,0.3225806451612903,13.1
3,1,1,0,0.3225806451612903,10.1
4,0,1,0,0.3,9.6
5,0,0,1,0.26666666666666666,11.5
6,1,0,0,0.25806451612903225,20.0
5,0,0,1,0.25806451612903225,13.8
6,0,1,0,0.26666666666666666,18.3
2,0,0,1,0.3225806451612903,2.6
5,0,1,0,0.3225806451612903,11.4
5,1,0,0,0.2857142857142857,17.2
1,0,0,0,0.3333333333333333,1.8
6,0,0,1,0.25806451612903225,11.9
5,1,0,1,0.26666666666666666,18.2
2,1,1,0,0.2903225806451613,7.7
4,0,0,1,0.25806451612903225,10.3
3,0,0,0,0.25806451612903225,9.0
5,0,1,0,0.3,14.6
5,0,1,0,0.3225806451612903,14.3
6,0,0,1,0.26666666666666666,15.2
5,0,0,0,0.25806451612903225,11.6
4,1,1,0,0.26666666666666666,14.3
1,1,0,0,0.2857142857142857,6.2
2,1,0,0,0.2857142857142857,7.7
1,0,0,1,0.25806451612903225,5.3
4,1,1,0,0.3,11.8
2,1,0,0,0.3333333333333333,7.4
3,0,0,0,0.2857142857142857,5.8
2,0,1,0,0.26666666666666666,5.4
5,0,0,1,0.3225806451612903,13.4
6,1,0,0,0.25806451612903225,20.0
3,1,0,0,0.25806451612903225,13.1
4,0,1,0,0.2903225806451613,13.1
5,1,1,0,0.3225806451612903,18.5
6,1,0,1,0.25806451612903225,20.0
1,1,1,0,0.3225806451612903,3.2
6,0,1,0,0.26666666666666666,16.6
2,1,0,1,0.25806451612903225,5.3
5,1,0,0,0.25806451612903225,18.0
4,1,0,0,0.3333333333333333,15.0
2,1,0,0,0.3333333333333333,8.1
1,1,0,1,0.3225806451612903,4.1
3,0,0,0,0.3333333333333333,9.2
4,0,0,1,0.25806451612903225,9.4
1,1,1,0,0.3225806451612903,5.3
3,0,0,1,0.3225806451612903,7.9
2,0,0,0,0.2857142857142857,5.0
2,0,1,0,0.3,3.4
4,0,0,1,0.25806451612903225,9.7
2,0,0,0,0.3333333333333333,6.2
5,0,1,0,0.26666666666666666,11.2
1,0,1,0,0.3,4.4
5,0,1,0,0.3225806451612903,13.5
3,1,0,0,0.25806451612903225,11.4
1,0,0,0,0.3333333333333333,1.5
4,1,0,0,0.25806451612903225,14.5
4,0,0,0,0.3333333333333333,9.5
4,1,1,0,0.3225806451612903,12.6
2,0,0,0,0.3333333333333333,7.3
3,0,0,1,0.3225806451612903,7.4
5,0,0,1,0.25806451612903225,9.6
4,0,1,0,0.3,11.2
3,0,0,0,0.25806451612903225,6.3
1,1,0,0,0.25806451612903225,3.6
5,1,0,1,0.25806451612903225,18.1
3,0,0,0,0.3333333333333333,8.1
5,1,0,0,0.3333333333333333,17.2
4,1,0,1,0.25806451612903225,13.4
5,0,0,0,0.25806451612903225,12.9
2,0,0,0,0.3333333333333333,9.0
2,1,0,1,0.25806451612903225,8.4
5,0,0,0,0.25806451612903225,14.2
1,0,0,0,0.25806451612903225,0.5
6,0,0,1,0.25806451612903225,16.1
5,1,0,0,0.25806451612903225,19.4
4,1,0,1,0.3225806451612903,15.5
1,1,0,0,0.25806451612903225,2.3
2,0,0,1,0.25806451612903225,6.1
5,0,0,0,0.25806451612903225,13.7
4,0,0,1,0.3225806451612903,10.9
4,0,0,0,0.3333333333333333,11.1
5,0,1,0,0.3,12.8
4,1,0,1,0.26666666666666666,15.4
6,1,0,0,0.25806451612903225,20.0
2,0,0,0,0.25806451612903225,6.6
6,0,0,0,0.25806451612903225,14.9
4,0,0,1,0.25806451612903225,9.7
5,1,0,1,0.26666666666666666,15.7
2,0,0,1,0.3225806451612903,5.7
6,0,0,0,0.25806451612903225,16.7
4,1,0,1,0.3225806451612903,13.6
2,1,1,0,0.3,7.5
6,0,1,0,0.2903225806451613,12.8
1,1,1,0,0.3225806451612903,3.6
2,1,0,0,0.25806451612903225,9.0
4,0,0,0,0.25806451612903225,8.7
2,1,0,1,0.26666666666666666,8.2
2,0,0,1,0.3225806451612903,4.1
5,0,1,0,0.26666666666666666,14.1
2,0,1,0,0.3,3.9
